,name,album,artist,release_date,length,popularity,track_id,mode,acousticness,danceability,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,duration_ms,time_signature,genre
0,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,89,6gBFPUFcJLzWGx4lenP6h2,1,0.0847,0.841,0.728,0.0,0.149,0.43,-3.37,0.0484,130.049,243837,4,['rap']
1,Trevo (Tu),ANAVITÓRIA,ANAVITÓRIA,2016-08-18,205467,69,2vRBYKWOyHtFMtiK60qRz7,1,0.877,0.6759999999999999,0.374,0.000132,0.165,0.2,-8.201,0.0266,99.825,205468,4,"['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop']"
2,Hear Me Now,Hear Me Now,Alok,2016-10-21,194840,73,39cmB3ZoTOLwOTq7tMNqKa,1,0.546,0.778,0.463,0.00289,0.0731,0.496,-7.603,0.0389,121.999,194840,4,"['brazilian edm', 'edm', 'electro house', 'pop house']"
3,Refém,O Cara Certo,Dilsinho,2016-06-10,223546,67,4muZ1PUxmss4cVmYnpLrvs,1,0.6920000000000001,0.648,0.542,0.0,0.0923,0.835,-6.292000000000001,0.036,147.861,223547,4,"['pagode', 'pagode novo']"
4,Ela Só Quer Paz,Ela Só Quer Paz,Projota,2016-01-27,174382,66,1RPrzKZdkzCNV0Ux0xEHg2,0,0.0207,0.655,0.664,0.0,0.0771,0.934,-4.506,0.179,172.005,174382,4,"['brazilian edm', 'brazilian hip hop', 'pop nacional']"
5,Closer,Closer,The Chainsmokers,2016-07-29,244960,84,7BKLCZ1jbUBVqRi2FVlTVw,1,0.414,0.748,0.524,0.0,0.111,0.6609999999999999,-5.599,0.0338,95.01,244960,4,"['dance pop', 'edm', 'electropop', 'pop', 'tropical house']"
6,Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,85,5uCax9HTNlzGybIStD3vDh,1,0.695,0.358,0.557,0.0,0.0902,0.494,-7.398,0.059,85.04299999999999,211467,4,"['pop', 'post-teen pop', 'talent show', 'uk pop']"
7,Devil Eyes,Providence,Hippie Sabotage,2016-02-05,131271,80,7MiZjKawmXTsTNePyTfPyL,0,0.7020000000000001,0.391,0.396,0.405,0.315,0.199,-8.621,0.189,99.11200000000001,131272,5,['edm']
8,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,2016-01-29,217706,80,06KyNuuMOX1ROXRhj787tj,0,0.621,0.728,0.563,0.0,0.179,0.352,-8.052999999999999,0.134,100.017,217707,4,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
9,Paredes - Ao Vivo,Como. Sempre Feito. Nunca (ao Vivo),Jorge & Mateus,2016-02-19,184032,64,2GfxgssRHvY1azHtaRqKoK,1,0.176,0.619,0.925,0.0,0.272,0.802,-2.424,0.148,169.974,184033,4,"['pop nacional', 'sertanejo universitario']"
10,Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,82,3a1lNhkSLSkpJE4MSHpDu9,1,0.215,0.63,0.804,0.0,0.253,0.492,-4.183,0.0363,123.146,220293,4,"['dance pop', 'edm', 'electro house', 'pop', 'pop edm', 'tropical house']"
11,Lembranças,Lembranças,Hungria Hip Hop,2016-09-02,270597,64,2BZx6pvXQpY8pExUmdkkm1,0,0.347,0.9159999999999999,0.321,0.0,0.0854,0.6659999999999999,-10.278,0.339,136.043,270597,4,"['brazilian edm', 'brazilian hip hop', 'rap df', 'trap brasileiro']"
12,Starboy,Starboy,The Weeknd,2016-11-25,230453,83,7MXVkk9YMctZqd1Srtv4MB,1,0.141,0.679,0.5870000000000001,6.35e-06,0.137,0.486,-7.015,0.276,186.003,230453,4,"['canadian contemporary r&b', 'canadian pop', 'pop']"
13,Let Me Love You,Encore,DJ Snake,2016-08-05,205946,80,0lYBSQXN6rCTvUZvg9S0lU,1,0.0863,0.649,0.716,2.63e-05,0.135,0.163,-5.371,0.0349,99.988,205947,4,"['dance pop', 'edm', 'electro house', 'electronic trap', 'pop', 'pop rap']"
14,Singular,ANAVITÓRIA,ANAVITÓRIA,2016-08-18,206108,63,2bwNhYxgQlkokiEn94eAYT,1,0.727,0.765,0.307,2.15e-06,0.109,0.257,-10.472,0.0328,119.836,206109,4,"['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop']"
15,Louca de Saudade - Ao Vivo,Como. Sempre Feito. Nunca (ao Vivo),Jorge & Mateus,2016-02-19,195573,63,2InJDvDcA4RXEeA9njdibl,1,0.539,0.728,0.7390000000000001,0.0,0.276,0.722,-2.729,0.0272,106.017,195573,4,"['pop nacional', 'sertanejo universitario']"
16,Deixa em Off - Ao Vivo,Turma do Pagode XV Anos (Ao Vivo),Turma do Pagode,2016-03-18,173586,63,5sudtP2ME6aIHN20glKW0k,0,0.732,0.599,0.812,0.0,0.868,0.716,-5.749,0.0533,96.04799999999999,173587,4,"['funk carioca', 'pagode', 'pagode novo', 'sertanejo universitario']"
17,That's What I Like,24K Magic,Bruno Mars,2016-11-17,206693,80,0KKkJNfGyhkQ5aFogxQAPU,1,0.013,0.853,0.56,0.0,0.0944,0.86,-4.961,0.0406,134.066,206693,4,"['dance pop', 'pop', 'post-teen pop']"
18,Agora Eu Quero Ir,ANAVITÓRIA,ANAVITÓRIA,2016-08-18,192714,63,0wHLjfLyc26xILjHVMGIHN,1,0.4970000000000001,0.747,0.307,0.000121,0.131,0.323,-8.617,0.0332,127.841,192715,4,"['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop']"
19,Scars To Your Beautiful,Know-It-All (Deluxe),Alessia Cara,2016-03-11,230226,78,42ydLwx4i5V49RXHOozJZq,1,0.0285,0.319,0.7390000000000001,0.0,0.111,0.449,-5.74,0.272,194.169,230227,4,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
20,Love On The Brain,ANTI (Deluxe),Rihanna,2016-01-28,224000,80,5oO3drDxtziYU2H1X23ZIp,0,0.0717,0.509,0.637,1.08e-05,0.0789,0.3779999999999999,-4.83,0.0471,172.006,224000,3,"['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary']"
21,This Is What You Came For (feat. Rihanna),This Is What You Came For (feat. Rihanna),Calvin Harris,2016-04-29,222160,79,0azC730Exh71aQlOt9Zj3y,0,0.199,0.63,0.9279999999999999,0.124,0.148,0.465,-2.787,0.0331,123.963,222160,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
22,Alma de Pipa,4° Último,Tribo da Periferia,2016-12-23,169302,62,2Tr8fS7IQGlVbOoLX6vX3H,0,0.5429999999999999,0.836,0.352,0.0,0.0888,0.446,-10.063,0.0843,132.047,169302,4,"['brazilian edm', 'rap df']"
23,Maranata - Ao Vivo,Maranata,Ministério Avivah,2016-08-01,384760,62,21UUN3OEpS7Lr8YiN4xh4N,1,0.022,0.314,0.7979999999999999,3.63e-06,0.362,0.336,-5.851,0.0544,150.129,384760,4,"['adoracao', 'louvor icm', 'world worship']"
24,Medo Bobo - Ao Vivo,Ao Vivo Em Goiânia,Maiara & Maraisa,2016-03-04,174920,62,2CW04trIoYMbroZWDzPAjs,1,0.695,0.599,0.65,0.0,0.9690000000000001,0.346,-4.394,0.0263,91.98899999999999,174920,4,"['batidao romantico', 'funk carioca', 'funk ostentacao', 'funk paulista']"
